"","FileName","Time","APOE","Sex","APOE_Sex","Injection","Age","mean_FullCellComplexity","mean_log_MaxBranchLength","mean_log_AvgBranchLength","mean_t_index"
"1","20250513_Tser05162_microglia_Probabilities_combined.xlsx",1,"APOE4","Female","APOE4 Female","PreInjection","young",2.3532766914136,4.24627982556893,3.85000086966691,0.478107477542084
"2","20250513_Tser05162_microglia_Probabilities_combined.xlsx",2,"APOE4","Female","APOE4 Female","PreInjection","young",2.40312263099035,4.18192179702481,3.8796269474864,0.602966998467517
"3","20250513_Tser05162_microglia_Probabilities_combined.xlsx",3,"APOE4","Female","APOE4 Female","PreInjection","young",2.45955901042518,4.29849920481351,3.91752892836178,0.516123905457602
"4","20250513_Tser05162_microglia_Probabilities_combined.xlsx",4,"APOE4","Female","APOE4 Female","PreInjection","young",2.340702459219,4.10929047753545,3.74826873501915,0.516867554824469
"5","20250513_Tser05162_microglia_Probabilities_combined.xlsx",5,"APOE4","Female","APOE4 Female","PreInjection","young",2.36815251361448,4.20850305054475,3.81626504811224,0.47263416749379
"6","20250513_Tser05162_microglia_Probabilities_combined.xlsx",6,"APOE4","Female","APOE4 Female","PreInjection","young",2.48935841468997,4.24965872159338,3.94352768427906,0.607935350108917
"7","20250513_Tser05162_microglia_Probabilities_combined.xlsx",7,"APOE4","Female","APOE4 Female","PreInjection","young",2.42229946951631,4.19089734698393,3.81788599505265,0.499685876330462
"8","20250513_Tser05162_microglia_Probabilities_combined.xlsx",8,"APOE4","Female","APOE4 Female","PreInjection","young",2.41689201254057,4.27747396992785,3.84291014748671,0.468910709228177
"9","20250513_Tser05162_microglia_Probabilities_combined.xlsx",9,"APOE4","Female","APOE4 Female","PreInjection","young",2.4773050775471,4.32180289198733,3.95168086495367,0.525701843726942
"10","20250513_Tser05162_microglia_Probabilities_combined.xlsx",10,"APOE4","Female","APOE4 Female","PreInjection","young",2.44508964585412,4.21891676910468,3.8634105470872,0.531531665438583
"11","20250513_Tser05162_microglia_Probabilities_combined.xlsx",11,"APOE4","Female","APOE4 Female","PreInjection","young",2.42839378686685,4.0897617323772,3.75630257828856,0.591119149833435
"12","20250513_Tser05162_microglia_Probabilities_combined.xlsx",12,"APOE4","Female","APOE4 Female","PreInjection","young",2.54917902350922,4.25023518888248,3.90287317553028,0.551912397512519
"13","20250513_Tser05162_microglia_Probabilities_combined.xlsx",13,"APOE4","Female","APOE4 Female","PostInjection","young",2.17881425954541,4.19342301071074,3.90927894593518,0.642000179941639
"14","20250513_Tser05162_microglia_Probabilities_combined.xlsx",14,"APOE4","Female","APOE4 Female","PostInjection","young",2.24385280692698,4.24424303681949,3.87951621354423,0.531214325796597
"15","20250513_Tser05162_microglia_Probabilities_combined.xlsx",15,"APOE4","Female","APOE4 Female","PostInjection","young",2.19716356555846,4.14746504927282,3.86092969496895,0.638200264286587
"16","20250513_Tser05162_microglia_Probabilities_combined.xlsx",16,"APOE4","Female","APOE4 Female","PostInjection","young",2.25666144907899,4.20805051032,3.86903430082095,0.591613568978572
"17","20250513_Tser05162_microglia_Probabilities_combined.xlsx",17,"APOE4","Female","APOE4 Female","PostInjection","young",2.31673468784229,4.22471260892179,3.89505772134229,0.571922247695271
"18","20250513_Tser05162_microglia_Probabilities_combined.xlsx",18,"APOE4","Female","APOE4 Female","PostInjection","young",2.18741859234594,4.15351292487897,3.8446554477118,0.617755782915338
"19","20250513_Tser05162_microglia_Probabilities_combined.xlsx",19,"APOE4","Female","APOE4 Female","PostInjection","young",2.24293975150013,4.21337642725064,3.86334631366532,0.53498007427006
"20","20250513_Tser05162_microglia_Probabilities_combined.xlsx",20,"APOE4","Female","APOE4 Female","PostInjection","young",2.22427340638195,4.08895148250544,3.76322697509504,0.59208101854704
